Frequency (Hz)	Level (dB)
10895.800781	-89.298561
10917.333984	-89.307785
10938.867188	-89.386673
10960.400391	-89.485741
10981.933594	-89.546600
11003.466797	-89.546127
11025.000000	-89.514046
11046.533203	-89.500656
11068.066406	-89.531120
11089.599609	-89.590515
11111.132812	-89.647209
11132.666016	-89.686508
11154.199219	-89.719910
11175.732422	-89.762878
11197.265625	-89.808846
11218.798828	-89.827438
11240.332031	-89.788223
11261.865234	-89.688110
11283.398438	-89.556236
11304.931641	-89.433899
11326.464844	-89.351120
11347.998047	-89.318756
11369.531250	-89.335724
11391.064453	-89.400833
11412.597656	-89.516289
11434.130859	-89.679138
11455.664062	-89.849503
11477.197266	-89.995987
11498.730469	-90.106445
11520.263672	-90.102043
11541.796875	-90.034897
11563.330078	-89.962479
11584.863281	-89.932961
11606.396484	-89.958733
11627.929688	-90.015358
11649.462891	-90.060165
11670.996094	-90.060936
11692.529297	-90.015411
11714.062500	-89.949677
11735.595703	-89.898140
11757.128906	-89.880661
11778.662109	-89.892029
11800.195312	-89.907951
11821.728516	-89.905205
11843.261719	-89.880440
11864.794922	-89.855598
11886.328125	-89.865845
11907.861328	-89.940453
11929.394531	-90.085770
11950.927734	-90.266670
11972.460938	-90.459984
11993.994141	-90.573372
12015.527344	-90.579994
12037.060547	-90.500977
12058.593750	-90.382912
12080.126953	-90.268997
12101.660156	-90.178429
12123.193359	-90.110031
12144.726562	-90.059135
12166.259766	-90.029907
12187.792969	-90.033546
12209.326172	-90.074829
12230.859375	-90.141029
12252.392578	-90.203667
12273.925781	-90.235191
12295.458984	-90.231041
12316.992188	-90.217148
12338.525391	-90.232910
12360.058594	-90.300400
12381.591797	-90.403458
12403.125000	-90.493286
12424.658203	-90.523270
12446.191406	-90.485497
12467.724609	-90.411064
12489.257812	-90.336029
12510.791016	-90.271820
12532.324219	-90.205856
12553.857422	-90.122955
12575.390625	-90.024590
12596.923828	-89.930740
12618.457031	-89.867188
12639.990234	-89.851746
12661.523438	-89.886894
12683.056641	-89.961754
12704.589844	-90.060669
12726.123047	-90.173683
12747.656250	-90.300903
12769.189453	-90.446106
12790.722656	-90.602638
12812.255859	-90.741272
12833.789062	-90.793434
12855.322266	-90.756172
12876.855469	-90.643295
12898.388672	-90.483749
12919.921875	-90.382744
12941.455078	-90.397766
12962.988281	-90.526176
12984.521484	-90.696671
13006.054688	-90.800095
13027.587891	-90.767822
13049.121094	-90.636322
13070.654297	-90.517700
13092.187500	-90.509697
13113.720703	-90.635834
13135.253906	-90.840248
13156.787109	-91.025574
13178.320312	-91.115433
13199.853516	-91.100159
13221.386719	-91.024765
13242.919922	-90.943901
13264.453125	-90.890869
13285.986328	-90.871788
13307.519531	-90.869949
13329.052734	-90.857719
13350.585938	-90.807678
13372.119141	-90.704521
13393.652344	-90.584496
13415.185547	-90.494263
13436.718750	-90.485680
13458.251953	-90.584061
13479.785156	-90.776245
13501.318359	-91.011536
13522.851562	-91.219398
13544.384766	-91.344597
13565.917969	-91.379539
13587.451172	-91.362602
13608.984375	-91.344284
13630.517578	-91.348877
13652.050781	-91.358521
13673.583984	-91.325478
13695.117188	-91.213142
13716.650391	-91.035820
13738.183594	-90.860352
13759.716797	-90.762810
13781.250000	-90.781815
13802.783203	-90.898666
13824.316406	-91.051895
13845.849609	-91.178894
13867.382812	-91.256699
13888.916016	-91.303894
13910.449219	-91.345032
13931.982422	-91.378242
13953.515625	-91.377808
13975.048828	-91.323273
13996.582031	-91.225494
14018.115234	-91.123932
14039.648438	-91.059631
14061.181641	-91.048698
14082.714844	-91.073250
14104.248047	-91.095245
14125.781250	-91.087166
14147.314453	-91.058540
14168.847656	-91.054100
14190.380859	-91.123489
14211.914062	-91.196518
14233.447266	-91.428574
14254.980469	-91.703369
14276.513672	-91.808708
14298.046875	-91.771019
14319.580078	-91.596962
14341.113281	-91.339806
14362.646484	-91.070709
14384.179688	-90.856445
14405.712891	-90.748108
14427.246094	-90.775612
14448.779297	-90.944756
14470.312500	-91.233612
14491.845703	-91.585388
14513.378906	-91.904259
14534.912109	-92.075478
14556.445312	-92.028770
14577.978516	-91.800858
14599.511719	-91.515182
14621.044922	-91.298813
14642.578125	-91.217354
14664.111328	-91.257271
14685.644531	-91.340561
14707.177734	-91.328827
14728.710938	-91.285263
14750.244141	-91.212090
14771.777344	-91.127472
14793.310547	-91.133209
14814.843750	-91.245384
14836.376953	-91.425781
14857.910156	-91.604340
14879.443359	-91.715485
14900.976562	-91.732292
14922.509766	-91.671669
14944.042969	-91.571228
14965.576172	-91.465607
14987.109375	-91.378357
15008.642578	-91.321907
15030.175781	-91.295860
15051.708984	-91.289452
15073.242188	-91.296768
15094.775391	-91.331383
15116.308594	-91.418846
15137.841797	-91.565491
15159.375000	-91.736588
15180.908203	-91.877922
15202.441406	-91.970444
15223.974609	-92.049248
15245.507812	-92.150093
15267.041016	-92.238403
15288.574219	-92.205841
15310.107422	-91.968590
15331.640625	-91.577660
15353.173828	-91.195152
15374.707031	-90.976196
15396.240234	-90.992607
15417.773438	-91.217644
15439.306641	-91.541298
15460.839844	-91.819633
15482.373047	-91.959496
15503.906250	-91.967392
15525.439453	-91.898132
15546.972656	-91.773941
15568.505859	-91.578461
15590.039062	-91.290169
15611.572266	-91.074043
15633.105469	-91.004539
15654.638672	-91.170319
15676.171875	-91.596046
15697.705078	-92.135239
15719.238281	-92.495293
15740.771484	-92.438141
15762.304688	-92.057281
15783.837891	-91.676849
15805.371094	-91.552780
15826.904297	-91.757248
15848.437500	-92.178879
15869.970703	-92.562424
15891.503906	-92.679459
15913.037109	-92.551872
15934.570312	-92.388443
15956.103516	-92.342262
15977.636719	-92.413918
15999.169922	-92.499664
16020.703125	-92.487274
16042.236328	-92.334579
16063.769531	-92.076309
16085.302734	-91.707748
16106.835938	-91.418922
16128.369141	-91.203949
16149.902344	-90.969551
16171.435547	-90.792358
16192.968750	-90.703125
16214.501953	-90.749207
16236.035156	-90.970375
16257.568359	-91.362671
16279.101562	-91.840637
16300.634766	-92.225395
16322.167969	-92.319023
16343.701172	-92.071083
16365.234375	-91.638176
16386.767578	-91.243141
16408.300781	-91.031975
16429.833984	-91.029793
16451.367188	-91.147888
16472.900391	-91.225662
16494.433594	-91.140923
16515.966797	-90.921097
16537.500000	-90.716064
16559.033203	-90.664200
16580.566406	-90.802483
16602.099609	-91.061218
16623.632812	-91.323967
16645.166016	-91.522308
16666.699219	-91.679214
16688.232422	-91.845078
16709.765625	-91.999100
16731.298828	-92.025307
16752.832031	-91.820465
16774.365234	-91.446999
16795.898438	-91.120720
16817.431641	-91.059525
16838.964844	-91.382957
16860.498047	-92.072701
16882.031250	-92.909340
16903.564453	-93.431396
16925.097656	-93.244957
16946.630859	-92.523491
16968.164062	-91.753014
16989.697266	-91.275856
17011.230469	-91.157547
17032.763672	-91.356117
17054.296875	-91.734444
17075.830078	-92.117256
17097.363281	-92.368408
17118.896484	-92.440956
17140.429688	-92.354553
17161.962891	-92.157288
17183.496094	-91.924324
17205.029297	-91.755386
17226.562500	-91.740891
17248.095703	-91.922043
17269.628906	-92.267815
17291.162109	-92.665771
17312.695312	-92.934792
17334.228516	-92.905807
17355.761719	-92.551735
17377.294922	-92.014877
17398.828125	-91.486603
17420.361328	-91.098526
17441.894531	-90.898994
17463.427734	-90.832565
17484.960938	-90.905418
17506.494141	-91.086647
17528.027344	-91.254494
17549.560547	-91.439896
17571.093750	-91.637894
17592.626953	-91.844757
17614.160156	-92.042290
17635.693359	-92.176811
17657.226562	-92.153519
17678.759766	-91.895393
17700.292969	-91.445572
17721.826172	-90.982635
17743.359375	-90.719215
17764.892578	-90.808784
17786.425781	-91.295174
17807.958984	-92.041809
17829.492188	-92.640930
17851.025391	-92.613205
17872.558594	-92.007904
17894.091797	-91.335701
17915.625000	-90.971603
17937.158203	-91.005737
17958.691406	-91.322876
17980.224609	-91.671989
18001.757812	-91.799530
18023.291016	-91.648750
18044.824219	-91.384186
18066.357422	-91.219788
18087.890625	-91.303429
18109.423828	-91.701935
18130.957031	-92.383743
18152.490234	-93.142525
18174.023438	-93.543793
18195.556641	-93.232819
18217.089844	-92.421890
18238.623047	-91.628967
18260.156250	-91.203445
18281.689453	-91.276054
18303.222656	-91.818443
18324.755859	-92.603188
18346.289062	-93.107147
18367.822266	-92.948929
18389.355469	-92.261978
18410.888672	-91.560982
18432.421875	-91.198936
18453.955078	-91.249130
18475.488281	-91.586601
18497.021484	-91.899666
18518.554688	-91.841225
18540.087891	-91.409836
18561.621094	-90.989403
18583.154297	-90.968933
18604.687500	-91.565971
18626.220703	-92.862656
18647.753906	-94.843384
18669.287109	-97.374702
18690.820312	-100.164604
18712.353516	-102.870636
18733.886719	-105.444138
18755.419922	-108.218285
18776.953125	-111.574745
18798.486328	-115.745529
18820.019531	-120.162750
18841.552734	-112.913559
18863.085938	-112.277992
18884.619141	-124.800186
18906.152344	-141.375595
18927.685547	-150.406723
18949.218750	-156.125961
18970.751953	-158.719635
18992.285156	-159.418182
19013.818359	-159.294891
19035.351562	-158.104309
19056.884766	-159.102356
19078.417969	-163.218307
19099.951172	-165.969315
19121.484375	-168.044189
19143.017578	-169.554108
19164.550781	-170.814468
19186.083984	-165.506989
19207.617188	-163.820572
19229.150391	-165.445251
19250.683594	-166.682770
19272.216797	-165.741043
19293.750000	-165.644791
19315.283203	-166.471405
19336.816406	-168.361679
19358.349609	-167.455597
19379.882812	-165.583878
19401.416016	-166.142212
19422.949219	-169.341049
19444.482422	-167.894302
19466.015625	-167.504639
19487.548828	-169.006378
19509.082031	-169.830566
19530.615234	-163.096970
19552.148438	-162.632980
19573.681641	-165.579391
19595.214844	-164.384857
19616.748047	-159.853119
19638.281250	-154.991409
19659.814453	-149.093628
19681.347656	-139.814011
19702.880859	-122.082504
19724.414062	-109.474350
19745.947266	-110.236855
19767.480469	-125.616074
19789.013672	-141.433746
19810.546875	-150.510742
19832.080078	-156.598709
19853.613281	-160.435074
19875.146484	-161.849091
19896.679688	-162.884186
19918.212891	-164.001480
19939.746094	-163.253021
19961.279297	-162.498520
19982.812500	-163.880844
20004.345703	-166.385101
20025.878906	-168.799423
20047.412109	-166.709961
20068.945312	-163.570740
20090.478516	-162.179169
20112.011719	-162.951324
20133.544922	-162.986298
20155.078125	-160.791992
20176.611328	-155.407349
20198.144531	-141.974304
20219.677734	-126.788246
20241.210938	-126.022789
20262.744141	-138.643936
20284.277344	-156.047119
20305.810547	-160.917267
20327.343750	-160.902435
20348.876953	-161.573105
20370.410156	-163.848663
20391.943359	-165.276184
20413.476562	-161.702072
20435.009766	-162.442932
20456.542969	-170.141113
20478.076172	-168.065125
20499.609375	-164.704468
20521.142578	-162.917694
20542.675781	-162.876999
20564.208984	-162.538895
20585.742188	-163.790070
20607.275391	-166.387665
20628.808594	-166.994934
20650.341797	-165.557755
20671.875000	-166.050659
20693.408203	-168.688446
20714.941406	-172.140076
20736.474609	-167.646652
20758.007812	-164.340515
20779.541016	-164.402084
20801.074219	-166.092529
20822.607422	-165.883560
20844.140625	-166.474976
20865.673828	-166.468430
20887.207031	-164.236374
20908.740234	-160.118423
20930.273438	-160.420273
20951.806641	-164.196655
20973.339844	-164.158051
20994.873047	-158.715500
21016.406250	-155.585999
21037.939453	-153.627869
21059.472656	-149.772385
21081.005859	-133.180328
21102.539062	-120.560089
21124.072266	-121.332710
21145.605469	-136.697113
21167.138672	-152.063614
21188.671875	-156.447617
21210.205078	-157.261841
21231.738281	-158.458527
21253.271484	-159.460388
21274.804688	-160.482910
21296.337891	-161.376556
21317.871094	-163.026443
21339.404297	-163.978027
21360.937500	-165.302582
21382.470703	-166.717178
21404.003906	-166.774994
21425.537109	-164.089157
21447.070312	-162.905869
21468.603516	-163.673660
21490.136719	-160.618835
21511.669922	-157.597626
21533.203125	-152.312485
21554.736328	-143.442062
21576.269531	-127.506859
21597.802734	-112.140404
21619.335938	-111.387672
21640.869141	-124.010124
21662.402344	-141.843491
21683.935547	-150.318222
21705.468750	-154.340668
21727.001953	-157.813065
21748.535156	-161.141144
21770.068359	-165.022049
21791.601562	-161.681091
21813.134766	-162.409058
21834.667969	-170.700500
21856.201172	-169.162125
21877.734375	-168.563110
21899.267578	-169.634155
21920.800781	-170.118866
21942.333984	-163.840714
21963.867188	-162.459457
21985.400391	-163.430801
22006.933594	-165.695114
22028.466797	-167.662720
